file_path,include
/home/wanglab/Users_local/Jeremy/Imaging/20190729/analysis/tracking_foci/20190729_JDW3705-inv_xy001_p0073_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190729/analysis/tracking_foci/20190729_JDW3705-inv_xy001_p0074_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy001_p0012_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy001_p0013_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy001_p0014_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy002_p0006_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy002_p0007_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy002_p0009_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy002_p0010_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy003_p0008_updated_tracks.pkl,1
/home/wanglab/Users_local/Jeremy/Imaging/20190726/analysis/tracking_foci/20190726_JDW3705-inv_xy003_p0012_updated_tracks.pkl,1
